"Data","Branch","Typ","state","uid","url"
"2026-09-06 11:24","dev","PREVIEW","READY","dpl_27zVqhuV686WBUyFjntNqs5YGTHs","harry-english-v2-k8dwfb13a-justynas-projects-be568828.vercel.app"
"2026-09-06 12:13","dev","PREVIEW","READY","dpl_FY7VR9ZZLR6DbaUrCsnok5cfVced","harry-english-v2-2tzn4azec-justynas-projects-be568828.vercel.app"
"2026-09-06 12:16","main","PRODUCTION","READY","dpl_EYjKiymgVqopKoDraZ1TqUnYrssG","harry-english-v2-1bjcqun2f-justynas-projects-be568828.vercel.app"
"2026-09-06 12:35","main","PRODUCTION","READY","dpl_CnNG15bkiiesN4CWcvjULgK7KcLH","harry-english-v2-c4rebtwxt-justynas-projects-be568828.vercel.app"
"2026-09-06 12:39","dev","PREVIEW","READY","dpl_3eaK6EHbxL93pXJh3JGnGdosDfgs","harry-english-v2-3g6y7j164-justynas-projects-be568828.vercel.app"
"2026-09-06 13:00","dev","PREVIEW","READY","dpl_A8Lef2iiszVbUvb2cfoc4vjvFBvS","harry-english-v2-kcmaahuhr-justynas-projects-be568828.vercel.app"
"2026-09-06 13:01","main","PRODUCTION","READY","dpl_9qe4HnTBK4ZjaZfpZ7E7WQjveAuN","harry-english-v2-o2ujx0jgg-justynas-projects-be568828.vercel.app"
"2026-09-06 14:26","dev","PREVIEW","READY","dpl_Gc87b22qdxJLDr3eZEdQmezmNTAF","harry-english-v2-2x67wsxco-justynas-projects-be568828.vercel.app"
"2026-09-06 15:43","dev","PREVIEW","READY","dpl_DQUmw8ozPWZP8rcKYWtpwYvX5VLC","harry-english-v2-c64qq1cxx-justynas-projects-be568828.vercel.app"
"2026-09-06 15:46","dev","PREVIEW","READY","dpl_FqJmNwbcUMT7GKv8oMY6k6jfikgX","harry-english-v2-9aw66mlcz-justynas-projects-be568828.vercel.app"
